,Номер,Наименование водного объекта,Азот нитритный,Азот аммонийный,Азот нитратный,Фенол,Нефтепродукты,Органические вещества (по ХПК),Железо,Медь,Цинк,Марганец,БПК5,Период наблюдений,Дата модификации
69,70,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-07-20 00:00:00,2015-11-08 12:31:19
70,71,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-07-20 00:00:00,2015-11-08 12:32:24
71,72,"р. Тобол, в створе с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,2015-07-20 00:00:00,2015-11-08 12:33:11
72,73,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 09:50:45
73,74,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 09:51:39
74,75,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 09:52:32
75,76,"р. Тура, в створе с. Покровское",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 09:56:50
76,77,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 10:27:49
77,78,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 10:28:54
78,79,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 10:29:06
79,80,"р. Ишим, в створе с. Абатское",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 10:30:53
80,81,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 10:32:21
81,82,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 10:33:00
82,83,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 10:33:43
83,84,"р. Тобол, в створе с. Иевлево",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-11-09 10:34:45
84,85,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-09-20 00:00:00,2015-10-20 13:59:49
85,86,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-09-20 00:00:00,2015-10-20 14:01:21
86,87,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-09-20 00:00:00,2015-10-20 14:02:16
87,88,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-09-20 00:00:00,2015-10-20 14:03:10
88,89,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-09-20 00:00:00,2015-10-20 14:03:49
89,90,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-09-20 00:00:00,2015-10-20 14:04:51
90,91,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-09-20 00:00:00,2015-10-20 14:07:11
91,92,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-09-20 00:00:00,2015-10-20 14:07:43
92,93,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-08-20 00:00:00,2015-10-20 14:08:00
93,94,"р. Тобол, ниже г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-09-20 00:00:00,2015-10-20 14:08:37
94,95,"р. Тура, в створе с. Салаирка",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:30:49
95,96,"р. Тура, выше г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:31:38
96,97,"р. Тура, ниже г. Тюмени",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:32:13
97,98,"р. Ишим, в створе с. Ильинское",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:32:43
98,99,"р. Ишим, выше г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:33:17
99,100,"р. Ишим, ниже г. Ишима",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:33:55
100,101,"р. Ишим, в створе с. Абатское",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:34:37
101,102,"р. Тобол, в створе с. Коркино",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:35:58
102,103,"р. Тобол, выше г. Ялуторовска",0,0,0,0,0,0,0,0,0,0,0,2015-10-20 00:00:00,2015-10-11 15:36:33
